Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Meats and poultry,Other meats,1987/08/01,8193,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/09/01,8154,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/10/01,8139,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/11/01,8107,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/12/01,8108,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/01/01,8365,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/02/01,8524,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/03/01,8788,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/04/01,8771,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/05/01,8885,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/06/01,8930,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/07/01,9097,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/08/01,9251,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/09/01,9267,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/10/01,9377,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/11/01,9481,2023/08/31 04:02:51
Meats and poultry,Other meats,1988/12/01,9482,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/01/01,9663,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/02/01,9735,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/03/01,9780,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/04/01,9836,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/05/01,9987,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/06/01,10041,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/07/01,10132,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/08/01,10229,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/09/01,10375,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/10/01,10403,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/11/01,10532,2023/08/31 04:02:51
Meats and poultry,Other meats,1989/12/01,10717,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/01/01,10739,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/02/01,10928,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/03/01,11112,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/04/01,11130,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/05/01,11206,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/06/01,11394,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/07/01,11400,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/08/01,11487,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/09/01,11665,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/10/01,11542,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/11/01,11709,2023/08/31 04:02:51
Meats and poultry,Other meats,1990/12/01,11639,2023/08/31 04:02:51
Meats and poultry,Pork,1976/01/01,6673,2023/08/31 04:02:51
Meats and poultry,Pork,1976/02/01,6545,2023/08/31 04:02:51
Meats and poultry,Pork,1976/03/01,6534,2023/08/31 04:02:51
Meats and poultry,Pork,1976/04/01,6531,2023/08/31 04:02:51
Meats and poultry,Pork,1976/05/01,6520,2023/08/31 04:02:51
Meats and poultry,Pork,1976/06/01,6589,2023/08/31 04:02:51
Meats and poultry,Pork,1976/07/01,6531,2023/08/31 04:02:51
Meats and poultry,Pork,1976/08/01,6600,2023/08/31 04:02:51
Meats and poultry,Pork,1976/09/01,6596,2023/08/31 04:02:51
Meats and poultry,Pork,1976/10/01,6666,2023/08/31 04:02:51
Meats and poultry,Pork,1976/11/01,6628,2023/08/31 04:02:51
Meats and poultry,Pork,1976/12/01,6751,2023/08/31 04:02:51
Meats and poultry,Pork,1977/01/01,6899,2023/08/31 04:02:51
Meats and poultry,Pork,1977/02/01,6852,2023/08/31 04:02:51
