Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Cereals and bakery products,Cereals,1979/10/01,8820,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/11/01,9081,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/12/01,9141,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/01/01,9290,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/02/01,9385,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/03/01,9531,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/04/01,9609,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/05/01,9750,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/06/01,9817,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/07/01,9980,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/08/01,10261,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/09/01,10350,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/10/01,10516,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/11/01,10621,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1980/12/01,10758,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/01/01,10906,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/02/01,10974,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/03/01,11039,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/04/01,11209,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/05/01,11280,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/06/01,11349,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/07/01,11424,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/08/01,11524,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/09/01,11444,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/10/01,11583,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/11/01,11540,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1981/12/01,11644,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/01/01,11627,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/02/01,11720,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/03/01,11632,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/04/01,11717,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/05/01,11745,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/06/01,11705,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/07/01,11786,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/08/01,11622,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/09/01,11618,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/10/01,11693,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/11/01,11487,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1982/12/01,11605,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/01/01,11230,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/02/01,11247,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/03/01,11220,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/04/01,11215,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/05/01,11149,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/06/01,11198,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/07/01,11246,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/08/01,11190,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/09/01,11217,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/10/01,11220,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1983/11/01,11296,2023/08/30 08:26:00
